word;pos;lemma;id;ref1;ref2;F
n;PRO_clit;en2-ne;alexo;s7757;6;1
n;PRO_clit;en2-ne;alia;s10550;6;1
n;PRO_clit;en2-ne;alia;s10557;7;1
n;PRO_clit;en2-ne;alia;s11058;9;1
n;PRO_clit;en2-ne;alia;s9001;5;1
n;PRO_clit;en2-ne;alia;s9496;3;1
n;PRO_clit;en2-ne;alia;s9508;6;1
n;PRO_clit;en2-ne;anth;s19348;5;1
n;PRO_clit;en2-ne;anth;s20446;1;1
n;PRO_clit;en2-ne;barlaam;s32448;7;1
n;PRO_clit;en2-ne;benoit;s38609;5;1
n;PRO_clit;en2-ne;benoit;s38637;5;1
n;PRO_clit;en2-ne;benoit;s38701;3;1
n;PRO_clit;en2-ne;benoit;s39119;5;1
n;PRO_clit;en2-ne;benoit;s39167;2;1
n;PRO_clit;en2-ne;benoit;s39183;2;1
n;PRO_clit;en2-ne;benoit;s39340;2;1
n;PRO_clit;en2-ne;benoit;s39536;3;1
n;PRO_clit;en2-ne;benoit;s40011;2;1
n;PRO_clit;en2-ne;benoit;s40315;2;1
n;PRO_clit;en2-ne;benoit;s40491;3;1
n;PRO_clit;en2-ne;benoit;s40657;2;1
n;PRO_clit;en2-ne;chastoi;s60560;5;1
n;PRO_clit;en2-ne;chastoi;s60683;1;1
n;PRO_clit;en2-ne;chastoi;s61776;5;1
n;PRO_clit;en2-ne;chret1;s64900;31;1
n;PRO_clit;en2-ne;chret1;s65038;2;1
n;PRO_clit;en2-ne;chret1;s65090;45;1
n;PRO_clit;en2-ne;chret1;s65348;37;1
n;PRO_clit;en2-ne;chret1;s65533;22;1
n;PRO_clit;en2-ne;chret1;s65588;24;1
n;PRO_clit;en2-ne;chret1;s65594;36;1
n;PRO_clit;en2-ne;chro;s69507;2;1
n;PRO_clit;en2-ne;clef;s73443;1;1
n;PRO_clit;en2-ne;compoit;s79971;1;1
n;PRO_clit;en2-ne;contre;s83913;5;1
n;PRO_clit;en2-ne;contro;s86747;3;1
n;PRO_clit;en2-ne;eneas;s106860;6;1
n;PRO_clit;en2-ne;equiS;s111664;3;1
n;PRO_clit;en2-ne;fablesT;s148608;1;1
n;PRO_clit;en2-ne;gerv;s161476;4;1
n;PRO_clit;en2-ne;gerv;s161491;5;1
n;PRO_clit;en2-ne;gerv;s161563;3;1
n;PRO_clit;en2-ne;guil;s172854;3;1
n;PRO_clit;en2-ne;guil;s173050;2;1
n;PRO_clit;en2-ne;guil;s173152;2;1
n;PRO_clit;en2-ne;hista;s179055;3;1
n;PRO_clit;en2-ne;ipo;s191917;5;1
n;PRO_clit;en2-ne;lac;s202412;13;1
n;PRO_clit;en2-ne;malk;s220945;4;1
n;PRO_clit;en2-ne;maur;s229591;2;1
n;PRO_clit;en2-ne;maur;s229670;5;1
n;PRO_clit;en2-ne;michel;s236962;5;1
n;PRO_clit;en2-ne;mrgri;s250335;2;1
n;PRO_clit;en2-ne;myst;s251984;6;1
n;PRO_clit;en2-ne;orso;s285473;3;1
n;PRO_clit;en2-ne;perf;s307226;2;1
n;PRO_clit;en2-ne;perr;s318183;2;1
n;PRO_clit;en2-ne;perr;s318718;2;1
n;PRO_clit;en2-ne;perr;s318867;2;1
n;PRO_clit;en2-ne;perr;s318902;2;1
n;PRO_clit;en2-ne;reis;s343381;4;1
n;PRO_clit;en2-ne;reis;s347772;6;1
n;PRO_clit;en2-ne;rolandox;s355581;2;1
n;PRO_clit;en2-ne;rolandox;s355665;3;1
n;PRO_clit;en2-ne;rolandox;s356323;2;1
n;PRO_clit;en2-ne;rolandox;s356430;2;1
n;PRO_clit;en2-ne;rolandox;s357535;5;1
n;PRO_clit;en2-ne;rolandox;s358300;5;1
n;PRO_clit;en2-ne;rolandox;s358303;2;1
n;PRO_clit;en2-ne;rolandox;s358671;11;1
n;PRO_clit;en2-ne;rolandox;s359030;5;1
n;PRO_clit;en2-ne;sergbH;s392210;7;1
n;PRO_clit;en2-ne;sergbH;s392484;7;1
n;PRO_clit;en2-ne;sergbH;s392558;2;1
n;PRO_clit;en2-ne;sergbH;s393184;2;1
n;PRO_clit;en2-ne;troifr;s409357;3;1
n;PRO_clit;en2-ne;vilea;s424615;1;1
n;PRO_clit;en2-ne;vilhar;s428634;3;1
n;PRO_clit;en2-ne;yvf;s433587;2;1
n;PRO_clit;en2-ne;yvf;s433992;2;1
n;PRO_clit;en2-ne;yvf;s434171;2;1
